# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A1C3KZ98	OTHER	0.000527	0.999473	
A0A1C3KZC9	OTHER	0.002420	0.997580	
A0A1C3L0E2	OTHER	0.003263	0.996737	
A0A1C3L1C5	OTHER	0.000891	0.999109	
A0A1C3L1Q6	OTHER	0.018539	0.981461	
A0A1C3L2A8	OTHER	0.000155	0.999845	
A0A1C3L2B1	OTHER	0.000928	0.999072	
A0A1C3L373	OTHER	0.001746	0.998254	
A0A1C3L3D0	OTHER	0.000642	0.999358	
A0A1D3JIB0	SP(Sec/SPI)	0.986492	0.013508	CS pos: 17-18. VKC-DI. Pr: 0.9489
A0A1D3JJ98	OTHER	0.000436	0.999564	
A0A1D3JJD2	OTHER	0.000215	0.999785	
A0A1D3JJW6	OTHER	0.000357	0.999643	
A0A1D3JK01	OTHER	0.087755	0.912245	
A0A1D3JLL1	OTHER	0.002842	0.997158	
A0A1D3JMA5	OTHER	0.409628	0.590372	
A0A1D3JMP9	OTHER	0.000562	0.999438	
A0A1D3JN14	OTHER	0.001637	0.998363	
A0A1D3PAV2	OTHER	0.000674	0.999326	
A0A1D3PAW9	SP(Sec/SPI)	0.669508	0.330492	CS pos: 28-29. SNS-TK. Pr: 0.1507
A0A1D3PAX0	OTHER	0.000854	0.999146	
A0A1D3PBX5	OTHER	0.001333	0.998667	
A0A1D3PC53	OTHER	0.000784	0.999216	
A0A1D3PC73	OTHER	0.000401	0.999599	
A0A1D3RHI7	OTHER	0.000305	0.999695	
A0A1D3RIX5	OTHER	0.000613	0.999387	
A0A1D3SMI1	OTHER	0.000527	0.999473	
A0A1D3SML1	OTHER	0.002420	0.997580	
A0A1D3SMV6	OTHER	0.071508	0.928492	
A0A1D3SNT6	OTHER	0.000716	0.999284	
A0A1D3SPX3	OTHER	0.001344	0.998656	
A0A1D3SQ01	OTHER	0.016504	0.983496	
A0A1D3SQ30	OTHER	0.000781	0.999219	
A0A1D3SQ47	OTHER	0.018539	0.981461	
A0A1D3SQA0	OTHER	0.000250	0.999750	
A0A1D3SQA9	OTHER	0.002540	0.997460	
A0A1D3TC97	OTHER	0.001149	0.998851	
A0A1D3TCH6	OTHER	0.000488	0.999512	
A0A1D3TCK0	OTHER	0.000752	0.999248	
A0A1D3TCP0	OTHER	0.000472	0.999528	
A0A1D3TCR2	OTHER	0.000471	0.999529	
A0A1D3TCX4	OTHER	0.000561	0.999439	
A0A1D3TE75	OTHER	0.000104	0.999896	
A0A1D3TEE4	OTHER	0.000928	0.999072	
A0A1D3TEF9	OTHER	0.000151	0.999849	
A0A1D3TEQ3	OTHER	0.000672	0.999328	
A0A1D3TEQ6	OTHER	0.000333	0.999667	
A0A1D3TFK8	SP(Sec/SPI)	0.997236	0.002764	CS pos: 19-20. TKG-DL. Pr: 0.7883
Q9Y1B0	OTHER	0.003720	0.996280	
