qacc	sacc	pident	qcovs	ppos	evalue	bitscore	sseqid	stitle
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	30.000	9	62.50	0.052	34.7	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	26.190	9	61.90	0.054	34.3	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	30.556	9	66.67	0.057	34.3	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1A8W300	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	27.778	9	66.67	0.19	32.7	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA	tr|A0A1D3TCT5|A0A1D3TCT5_PLAMA Protein HGH1 N-terminal domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_13034200 PE=4 SV=1
A0A1C3K9Z6	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	98.997	100	99.16	0.0	1202	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA	tr|A0A1A8VSY9|A0A1A8VSY9_PLAMA Flap endonuclease 1 OS=Plasmodium malariae OX=5858 GN=FEN1 PE=3 SV=1
A0A1C3K9Z6	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	27.473	60	45.42	2.59e-23	103	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA DNA repair protein RAD2, putative OS=Plasmodium malariae OX=5858 GN=RAD2 PE=4 SV=1
A0A1C3K9Z6	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	30.935	60	43.17	4.45e-10	61.2	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA	tr|A0A1D3JJ85|A0A1D3JJ85_PLAMA DNA repair protein RAD2, putative OS=Plasmodium malariae OX=5858 GN=RAD2 PE=4 SV=1
A0A1C3K9Z6	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	31.892	41	45.41	6.95e-18	84.7	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA Endonuclease, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_08024000 PE=4 SV=1
A0A1C3K9Z6	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	28.571	41	51.65	8.13e-04	40.4	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA	tr|A0A1A8VUU4|A0A1A8VUU4_PLAMA Endonuclease, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_08024000 PE=4 SV=1
A0A1C3K9Z6	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	36.471	43	57.65	1.32e-08	56.2	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA Exonuclease 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_03031400 PE=3 SV=1
A0A1C3K9Z6	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	23.116	43	43.72	2.06e-08	55.8	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA	tr|A0A1D3JIS1|A0A1D3JIS1_PLAMA Exonuclease 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_03031400 PE=3 SV=1
A0A1C3K9Z6	tr|A0A1D3PAP3|A0A1D3PAP3_PLAMA	20.769	42	39.62	0.002	40.0	tr|A0A1D3PAP3|A0A1D3PAP3_PLAMA	tr|A0A1D3PAP3|A0A1D3PAP3_PLAMA Exonuclease 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_08019600 PE=3 SV=1
A0A1C3KBJ0	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	98.541	100	98.61	0.0	2904	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA Probable ATP-dependent 6-phosphofructokinase OS=Plasmodium malariae OX=5858 GN=PFK9 PE=3 SV=1
A0A1C3KBJ0	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	30.633	71	48.86	3.12e-42	168	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	28.000	71	45.75	7.51e-37	150	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	22.770	71	42.50	4.08e-29	125	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	24.603	71	43.45	4.56e-22	102	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	32.018	71	50.00	2.47e-21	99.8	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	31.356	71	57.63	1.65e-09	61.2	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1D3TEY6|A0A1D3TEY6_PLAMA	27.103	7	45.79	1.2	32.0	tr|A0A1D3TEY6|A0A1D3TEY6_PLAMA	tr|A0A1D3TEY6|A0A1D3TEY6_PLAMA SANT domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_14059500 PE=4 SV=1
A0A1C3KBJ0	tr|A0A1A8X883|A0A1A8X883_PLAMA	30.263	5	53.95	1.8	31.2	tr|A0A1A8X883|A0A1A8X883_PLAMA	tr|A0A1A8X883|A0A1A8X883_PLAMA Obg-like ATPase 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_03028800 PE=3 SV=1
A0A1C3KBJ0	tr|A0A1D3JLU9|A0A1D3JLU9_PLAMA	39.394	2	54.55	4.0	30.4	tr|A0A1D3JLU9|A0A1D3JLU9_PLAMA	tr|A0A1D3JLU9|A0A1D3JLU9_PLAMA Asparagine-rich antigen, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_05032200 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	100.000	100	100.00	0.0	2960	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA	tr|A0A1D3JMC4|A0A1D3JMC4_PLAMA Probable ATP-dependent 6-phosphofructokinase OS=Plasmodium malariae OX=5858 GN=PFK9 PE=3 SV=1
A0A1D3JMC4	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	30.633	70	48.86	2.67e-42	168	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	28.000	70	45.75	6.88e-37	150	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	22.960	70	42.69	7.51e-30	127	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	24.603	70	43.45	4.02e-22	102	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	32.018	70	50.00	2.23e-21	100	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	31.356	70	58.47	5.28e-10	62.8	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA	tr|A0A1D3PBX4|A0A1D3PBX4_PLAMA ATP-dependent 6-phosphofructokinase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_09037600 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	32.979	8	53.19	0.098	35.8	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06016000 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	28.346	8	43.31	0.51	33.1	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06016000 PE=4 SV=1
A0A1D3JMC4	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	32.857	8	54.29	8.1	29.3	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA	tr|A0A1D3JJK2|A0A1D3JJK2_PLAMA Uncharacterized protein OS=Plasmodium malariae OX=5858 GN=PmUG01_06016000 PE=4 SV=1
A0A1D3JMC4	tr|A0A1A8X883|A0A1A8X883_PLAMA	28.916	6	54.22	0.94	32.0	tr|A0A1A8X883|A0A1A8X883_PLAMA	tr|A0A1A8X883|A0A1A8X883_PLAMA Obg-like ATPase 1 OS=Plasmodium malariae OX=5858 GN=PmUG01_03028800 PE=3 SV=1
A0A1D3JMC4	tr|A0A1D3TEY6|A0A1D3TEY6_PLAMA	27.103	7	45.79	1.1	32.0	tr|A0A1D3TEY6|A0A1D3TEY6_PLAMA	tr|A0A1D3TEY6|A0A1D3TEY6_PLAMA SANT domain-containing protein OS=Plasmodium malariae OX=5858 GN=PmUG01_14059500 PE=4 SV=1
A0A1D3SMY2	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	100.000	100	100.00	0.0	872	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA	tr|A0A1D3SMY2|A0A1D3SMY2_PLAMA Endonuclease III homolog OS=Plasmodium malariae OX=5858 GN=PmUG01_11048400 PE=3 SV=1
A0A1D3SMY2	tr|A0A1D3PC03|A0A1D3PC03_PLAMA	31.343	30	52.99	3.45e-11	63.5	tr|A0A1D3PC03|A0A1D3PC03_PLAMA	tr|A0A1D3PC03|A0A1D3PC03_PLAMA Adenine DNA glycosylase OS=Plasmodium malariae OX=5858 GN=PmUG01_09038700 PE=3 SV=1
A0A1D3SMY2	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA	35.052	18	52.58	0.003	38.5	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA	tr|A0A1D3SPQ0|A0A1D3SPQ0_PLAMA acetyl-CoA carboxylase OS=Plasmodium malariae OX=5858 GN=ACC PE=4 SV=1
A0A1D3SMY2	tr|A0A1D3JMD1|A0A1D3JMD1_PLAMA	30.682	18	52.27	0.018	35.8	tr|A0A1D3JMD1|A0A1D3JMD1_PLAMA	tr|A0A1D3JMD1|A0A1D3JMD1_PLAMA DNA-(apurinic or apyrimidinic site) lyase OS=Plasmodium malariae OX=5858 GN=OGG1 PE=3 SV=1
A0A1D3SMY2	tr|A0A1A8WD65|A0A1A8WD65_PLAMA	28.571	20	46.94	0.32	32.0	tr|A0A1A8WD65|A0A1A8WD65_PLAMA	tr|A0A1A8WD65|A0A1A8WD65_PLAMA Clathrin heavy chain OS=Plasmodium malariae OX=5858 GN=PmUG01_14053900 PE=3 SV=1
P13815	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA	99.130	27	99.13	2.41e-78	246	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA Circumsporozoite protein OS=Plasmodium malariae OX=5858 GN=CSP PE=3 SV=1
P13815	tr|A0A1D3SNY9|A0A1D3SNY9_PLAMA	33.117	51	49.35	1.85e-15	77.4	tr|A0A1D3SNY9|A0A1D3SNY9_PLAMA	tr|A0A1D3SNY9|A0A1D3SNY9_PLAMA Transcription factor with AP2 domain(S), putative OS=Plasmodium malariae OX=5858 GN=PMUG01_12022000 PE=4 SV=1
P13815	tr|A0A1D3SNY9|A0A1D3SNY9_PLAMA	33.766	51	46.10	9.33e-15	75.5	tr|A0A1D3SNY9|A0A1D3SNY9_PLAMA	tr|A0A1D3SNY9|A0A1D3SNY9_PLAMA Transcription factor with AP2 domain(S), putative OS=Plasmodium malariae OX=5858 GN=PMUG01_12022000 PE=4 SV=1
P13815	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	32.787	52	55.74	4.03e-12	66.6	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA Alpha/beta-hydrolase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_12036000 PE=4 SV=1
P13815	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	30.216	52	52.52	6.64e-12	65.9	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA Alpha/beta-hydrolase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_12036000 PE=4 SV=1
P13815	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	31.967	52	56.56	1.87e-11	64.7	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA Alpha/beta-hydrolase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_12036000 PE=4 SV=1
P13815	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	31.818	52	52.27	2.94e-11	63.9	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA	tr|A0A1D3SPD0|A0A1D3SPD0_PLAMA Alpha/beta-hydrolase, putative OS=Plasmodium malariae OX=5858 GN=PmUG01_12036000 PE=4 SV=1
